Function;Number of proteins;totPrctP;Correlated proteins;corPrctP
NotMapped;533;24.546402633524046;163;10.993725584039799
Carbohydrate Metabolism;113;20.89693733679205;21;4.5303480105164669
Translation;110;13.812950772242766;81;12.673528200594959
Amino Acid Metabolism;92;9.4775305702726165;41;7.6197926035774355
Membrane Transport;70;6.4908910958139581;5;0.31483119750642508
Folding, Sorting and Degradation;97;6.0731308161599564;37;2.9991581930049955
Energy Metabolism;41;3.7060849474152224;13;0.63193430935493589
Nucleotide Metabolism;57;3.5824542603232894;29;1.615573064167352
Transcription;48;2.9289628565346959;12;0.26786206941707003
Other enzymes;64;2.8662406164270395;22;0.30582925635391228
Lipid Metabolism;30;1.1086921987567828;4;0.14599220658940806
DNA maintenance;45;1.0092947987389678;11;0.13399496175036701
Metabolism of Cofactors and Vitamins;53;0.80989780544791157;16;0.32770178250641857
Metabolism of Other Amino Acids;19;0.7990534827719239;7;0.47686335698977889
Signal Transduction;28;0.64220699060043906;2;0.0057888011166295572
Cell Motility;2;0.59321569453072953;0;0
Cytoskeleton;5;0.29601919975982643;2;0.13130902649936418
Glycan Biosynthesis and Metabolism;13;0.22497011516775353;3;0.03592522861699457
Metabolism of Terpenoids and Polyketides;13;0.087482135679376669;1;0.013644544269897241
Not mapped;7;0.02794595729642731;2;0.003149454893691847
Xenobiotics Biodegradation and Metabolism;2;0.019635715744350316;1;0.01790848013451625
