Function;Number of proteins;totPrctP;Correlated proteins;corPrctP
Carbohydrate Metabolism;131;24.70699598211209;30;6.1572142221234056
Translation;102;20.486746431058048;86;17.192813135652589
Amino Acid Metabolism;102;11.787518593840732;67;9.5405828167378868
Membrane Transport;93;8.8790152003571965;17;2.0068115914372382
Folding, Sorting and Degradation;89;6.9481317042445685;39;2.6637188850740441
Nucleotide Metabolism;62;6.4840603490571125;38;4.7505642360277438
Energy Metabolism;39;4.4987893618178783;14;1.1595513545949701
Lipid Metabolism;30;3.0785638142342568;6;0.7779826509320531
Other enzymes;59;2.2323096503135567;16;0.64410672601085073
Transcription;44;1.9802913151545638;12;1.0196279325250555
Metabolism of Cofactors and Vitamins;52;1.9298064379462736;25;1.0986910467735824
DNA maintenance;34;1.6158675363249251;5;0.28950707835504319
Metabolism of Other Amino Acids;22;1.1433650353932925;5;0.50753799200395111
Vesicular transport;4;1.0302054221996391;1;0.1416644901984121
Cell Motility;13;0.91203316514298516;1;0.39026479787214807
Signal Transduction;33;0.75490572359904773;3;0.045306398751330107
Glycan Biosynthesis and Metabolism;13;0.49843865011945188;3;0.14121357044424335
Cytoskeleton;5;0.35765184886677931;1;0.0038386158080926979
NotMapped;3;0.24189675706572902;1;0.079501634270424199
Cell Growth and Death;1;0.18804953099380833;1;0.18804953099380833
Metabolism of Terpenoids and Polyketides;8;0.1511039124453426;6;0.1238860949681018
Xenobiotics Biodegradation and Metabolism;4;0.092480632027113305;1;0.059793895849979031
Signaling Molecules and Interaction;1;0.0017729456856225932;0;0
