"DATE_GR_PA_PAnewWindow;[2010,1,31,15,8,11]"	year	month	day	secs1970	dODdt_peak_start_time	dODdt_peak_max_time	dODdt_peak_finish_time	dODdt_max_val	GR_secs	PA_newWindow
11111__m__SCD;1;1;1	2010	1	31	1264896000	81479	112366	103692	-0.000559	-2209263.116	-0.089556
773-ML_M1_34__YAL051W__SCD;1;1;1	2010	1	31	1264896000	8671	9869	16124	0.334971	3708.279194	0.132159
774-ML_M1_34__YDL106C__SCD;1;1;1	2010	1	31	1264896000	6202	9869	14803	0.303557	4047.721306	0.164438
777-ML_M1_34__YDR169C__SCD;1;1;1	2010	1	31	1264896000	7399	8671	16124	0.284447	4381.941489	0.160362
68__YOR063W__SCD;1;1;1	2010	1	31	1264896000	7399	9869	16124	0.311312	4003.798011	4.217653
68__YOR063W__SCD;2;1;1	2010	1	31	1264896000	7399	12335	16124	0.299155	4166.498174	3.866817
782-ML_M1_34__YGL035C__SCD;1;1;1	2010	1	31	1264896000	8671	13604	17323	0.302455	4086.558629	0.186364
563__MSRFP__SCD;1;1;1	2010	1	31	1264896000	7399	12335	17323	0.281019	4414.292969	-0.037823
786-ML_M1_34__YHR124W__SCD;1;1;1	2010	1	31	1264896000	7399	8671	14803	0.350612	3519.56492	0.04051
787-ML_M1_34__YJL103C__SCD;1;1;1	2010	1	31	1264896000	7399	9869	14803	0.335359	3679.637824	0.007574
789-ML_M1_34__YKL038W__SCD;1;1;1	2010	1	31	1264896000	7399	9869	16124	0.314004	3969.47075	0.061144
790-ML_M1_34__YKR067W__SCD;1;1;1	2010	1	31	1264896000	7399	8671	14803	0.321058	3843.54785	0.014861
795-ML_M1_34__YLR451W__SCD;1;1;1	2010	1	31	1264896000	8671	9869	17323	0.323223	3823.989516	0.107539
796-ML_M1_34__YML051W__SCD;1;1;1	2010	1	31	1264896000	7399	8671	14803	0.316039	3904.579428	-0.035281
797-ML_M1_34__YML081W__SCD;1;1;1	2010	1	31	1264896000	8671	12335	17323	0.308253	4009.689776	0.023048
798-ML_M1_34__YMR280C__SCD;1;1;1	2010	1	31	1264896000	8671	13604	17323	0.301649	4097.481267	0.00863
803-ML_M1_34__YKL109W__SCD;1;1;1	2010	1	31	1264896000	8671	8671	16124	0.325599	3815.023998	0.18547
806-ML_M1_34__YDR259C__SCD;1;1;1	2010	1	31	1264896000	7399	12335	14803	0.366123	3370.454444	0.047654
813-ML_M1_34__YPL038W__SCD;1;1;1	2010	1	31	1264896000	7399	8671	14803	0.339778	3631.783714	0.006377
814-ML_M1_34__YKR034W__SCD;1;1;1	2010	1	31	1264896000	8671	11136	17323	0.324923	3803.981325	-0.046865
799-ML_M1_36__YOR344C__SCD;1;1;1	2010	1	31	1264896000	8671	9869	16124	0.336161	3695.154416	0.577781
820-ML_M1_34__YBR018C__SCD;1;1;1	2010	1	31	1264896000	7399	9869	16124	0.325255	3832.154852	-0.02472
