,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Protein Mass (Da) / Cell,,,,,,,,,,,,,,,,,,
Accession,UP_AC,Description,Peptide count,Peptides used for quantitation,Confidence score,Gene,nb of possible Peptides,Molecular weight (Da),LC-MS Experiment,glucose,50 mM NaCl,pH 6,42°C,anaerobic,stationary 1 day,stationary 3 days,chemostat µ=0.12,chemostat µ=0.5,galactose,acetate,glycerol,LB,glucosamine,fumarate,succinate,pyruvate,chemostat µ=0.20,chemostat µ=0.35,glucose,50 mM NaCl,pH 6,42°C,anaerobic,stationary 1 day,stationary 3 days,chemostat µ=0.12,chemostat µ=0.5,galactose,acetate,glycerol,LB,glucosamine,fumarate,succinate,pyruvate,chemostat µ=0.20,chemostat µ=0.35
sp|P0A8V2|RPOB_ECOLI,P0A8V2,DNA-directed RNA polymerase subunit beta OS=Escherichia coli (strain K12) GN=rpoB PE=1 SV=1,92,87,6820.94,rpoB,76,150520.2758,No fractionation,3028.415363,2518.595558,2339.675497,2568.35508,1258.835925,245.2627779,448.1021281,418.1452468,1157.630417,707.7293371,838.5576897,1510.031732,5753.736945,2030.739511,1376.243395,1409.41847,1025.939049,514.0665592,744.5989524,455837915.6,379099698,352168601.1,386589515,189480330.7,36917020.98,67448455.91,62939337.87,174246849.7,106527615,126219934.7,227290392.8,866054071.8,305667471.3,207152535.3,212146056.8,154424628.6,77377440.26,112077239.7
sp|P0AFG8|ODP1_ECOLI,P0AFG8,Pyruvate dehydrogenase E1 component OS=Escherichia coli (strain K12) GN=aceE PE=1 SV=2,83,78,6234.39,aceE,54,99587.94042,No fractionation,4937.642761,4870.102906,5097.44273,4575.166509,1748.381832,536.2871131,689.6771701,882.2989523,1975.377677,1348.176369,1390.168842,2648.075056,13859.06604,5898.090169,2943.656912,3141.065519,5128.913032,998.4118476,1244.284636,491729673.1,485003518,507643822.9,455631409.7,174117745.7,53407729.07,68683528.93,87866335.5,196723794.4,134262107.9,138444051.8,263716340.9,1380195843,587378652.3,293152729.1,312812245.7,510777885.4,99429779.6,123915744.2
sp|P36683|ACON2_ECOLI,P36683,Aconitate hydratase 2 OS=Escherichia coli (strain K12) GN=acnB PE=1 SV=3,83,77,6451.7,acnB,50,93420.9457,No fractionation,4637.238078,4260.572296,4225.519677,3835.519749,2522.031579,664.4730224,565.0798248,2812.559499,5137.355486,3527.181706,6381.763261,3925.915297,5948.561415,4364.835733,6069.312986,6957.836931,5085.870015,3635.305107,4596.969633,433215166.7,398026693.1,394752044.3,358317882.2,235610575.2,62075698.14,52790291.63,262751968.2,479936607.9,329512650.6,596190359.1,366762719.8,555720233,407767082,567000958.9,650007706.1,475126786.5,339613641,429453250.5
sp|P0A6F5|CH60_ECOLI,P0A6F5,60 kDa chaperonin OS=Escherichia coli (strain K12) GN=groL PE=1 SV=2,71,68,6387.5,groL,30,57274.67483,No fractionation,14847.83198,13057.32343,14133.4133,14647.16279,17014.35163,2666.060522,3930.180101,9989.209722,14120.35276,9166.121229,13800.33291,12770.85251,29172.53354,15062.71008,14339.42574,14968.58168,11011.82187,10445.28056,12543.05799,850404748.7,747853953.6,809486651,838911485.7,974491457.3,152697749.5,225099787.3,572128738.6,808738612.9,524986612.8,790409579.7,731446424.5,1670847373,862711822,821285946.6,857320648.3,630698516.8,598250047.3,718399567.8
sp|P0A6Y8|DNAK_ECOLI,P0A6Y8,Chaperone protein dnaK OS=Escherichia coli (strain K12) GN=dnaK PE=1 SV=2,69,67,6392.18,dnaK,36,69054.47444,No fractionation,10485.70193,9035.060519,9316.586318,9584.298134,9496.109233,3174.131279,5420.071436,6678.636307,7866.8983,5078.493597,7556.519966,7001.818593,22032.84288,10470.57892,7511.275263,8406.67903,6380.440424,6104.037198,6244.308144,724084636.2,623911355.7,643351971.8,661838670.5,655748832.3,219187967.3,374280184.4,461189720.2,543244527.6,350692706.3,521811514.8,483506903,1521466385,723040324.3,518687165.6,580518802.2,440597960.2,421511080.7,431197417.1
sp|P05793|ILVC_ECOLI,P05793,Ketol-acid reductoisomerase OS=Escherichia coli (strain K12) GN=ilvC PE=1 SV=4,67,63,4608.86,ilvC,31,54016.26705,No fractionation,15922.19724,13141.18026,12037.70844,13704.12628,8381.91395,1566.979678,1463.07801,2779.468949,8212.073527,4299.964699,7246.36281,10411.04598,2295.290915,10078.37114,7778.124029,8726.267428,5248.288882,3418.243451,5227.051191,860057658.3,709837502.3,650232073.8,740245745,452759702.3,84642392.77,79030012.5,150136537,443585556.7,232268041.5,391421468.7,562365840.1,123983047,544395986.9,420145224.7,471360391.8,283492973.8,184640751.1,282345793
sp|P23847|DPPA_ECOLI,P23847,Periplasmic dipeptide transport protein OS=Escherichia coli (strain K12) GN=dppA PE=1 SV=1,63,62,5018.94,dppA,28,60237.23952,No fractionation,6461.33257,6062.516767,8155.639753,6431.243251,9413.668387,3045.695919,3556.166573,18173.22349,11362.87105,8967.155353,11763.57275,9070.789493,3012.912676,8229.853057,10671.61644,9950.236207,9816.341408,17225.70942,12752.93979,389212837.6,365189274.6,491273225.3,387400340.1,567053397.4,183464314.6,214213657.7,1094704816,684467985.1,540156684.8,708605149.1,546399319.3,181489542.5,495743629.8,642828715.8,599374761.7,591309308.6,1037629184,768201888.8
sp|P0A8T7|RPOC_ECOLI,P0A8T7,DNA-directed RNA polymerase subunit beta' OS=Escherichia coli (strain K12) GN=rpoC PE=1 SV=1,66,60,4018.89,rpoC,83,155045.008,No fractionation,713.0396592,590.5902561,474.3706569,537.9351604,208.4092385,70.72980602,67.15102454,72.59870386,182.6324725,88.93858649,123.0190117,251.8754255,2397.690564,393.8910575,258.5910365,243.2795142,142.2617487,85.70248996,143.5731981,110553239.7,91568070.99,73548802.29,83404161.24,32312812.06,10966303.34,10411431.14,11256066.62,28316253.16,13789483.85,19073483.65,39052027.36,371749952.7,61070842.16,40093249.32,37719274.23,22056973.97,13287743.24,22260307.65
sp|P25665|METE_ECOLI,P25665,5-methyltetrahydropteroyltriglutamate--homocysteine methyltransferase OS=Escherichia coli (strain K12) GN=metE PE=1 SV=6,62,60,5329.6,metE,39,84602.80905,No fractionation,14994.39843,13172.99174,6806.336102,9772.806552,5711.998612,781.2997442,594.9930747,756.0691235,3740.453545,1836.073969,2100.550976,4930.009923,3260.698204,7944.068158,5426.792868,5543.868305,2110.361166,1033.920413,1780.504465,1268568227,1114472105,575835153.5,826806886.6,483251127.8,66100153.07,50338085.49,63965571.68,316452877,155337015.4,177712513.1,417092688.2,275864227.5,672090481.4,459121920.8,469026831.6,178542482.7,87472571.28,150635679.2
sp|P00968|CARB_ECOLI,P00968,Carbamoyl-phosphate synthase large chain OS=Escherichia coli (strain K12) GN=carB PE=1 SV=2,62,57,3678.62,carB,60,117749.3328,No fractionation,2219.403312,1922.345932,1294.915664,1547.446152,552.5532509,192.2039382,166.4964547,123.4694102,548.3471834,237.0967931,292.6520249,692.9129518,408.3758995,1194.201252,602.389797,795.5404582,508.0568485,161.0549665,299.583019,261333259.2,226354950.9,152475455.5,182210752,65062776.63,22631885.48,19604846.45,14538440.67,64567514.98,27917989.2,34459580.67,81590037.77,48085989.7,140616400.7,70930996.68,93674358.17,59823354.93,18964114.85,35275700.6
sp|P0A9Q7|ADHE_ECOLI,P0A9Q7,Aldehyde-alcohol dehydrogenase OS=Escherichia coli (strain K12) GN=adhE PE=1 SV=2,58,56,4035.32,adhE,46,96048.64958,No fractionation,3406.939331,3292.176665,2585.170274,2892.078346,2185.442439,646.0663849,758.718644,608.7996304,1426.275237,1133.39633,1031.76644,1845.877087,3521.465294,1938.056567,1182.828103,1131.663421,938.1199778,605.0742206,774.288945,327231922,316209122.9,248302113.7,277780219.6,209908795,62053803.81,72873901.17,58474382.36,136991810.5,108861186.9,99099773.23,177294001.5,338231986,186147716.1,113609042,108694743.3,90105157.01,58116561.79,74369407.55
sp|P0AG67|RS1_ECOLI,P0AG67,30S ribosomal protein S1 OS=Escherichia coli (strain K12) GN=rpsA PE=1 SV=1,60,56,6564.9,rpsA,30,61102.7043,No fractionation,16452.23602,14168.75652,15855.81632,13113.18423,14878.56787,2036.309946,2836.221051,5378.690175,11119.31659,7361.927704,8933.795653,9908.526022,34799.65832,13595.82743,10638.81119,10557.02111,7760.308285,5716.20164,7277.781211,1005276113,865749339.7,968833256.3,801251018.2,909120732.8,124424044.5,173300776.2,328652515.3,679420313.8,449833691.6,545879074,605437735.5,2126353232,830741822.9,650060134.1,645062539.2,474175822.4,349275378.5,444692113.3
sp|P0A6M8|EFG_ECOLI,P0A6M8,Elongation factor G OS=Escherichia coli (strain K12) GN=fusA PE=1 SV=2,60,54,5738.02,fusA,38,77514.47523,No fractionation,16692.59771,15292.4605,14402.24627,15133.65349,12609.66659,1874.417968,2772.215378,4587.672822,10444.57717,6102.776954,7789.485547,9919.841871,31959.0822,13646.36125,10558.79478,11606.24409,9353.993123,5233.582293,6865.839423,1293917951,1185387051,1116382562,1173077209,977431688.9,145294525.1,214886820.3,355611051.3,809605918.4,473053553,603797884.5,768931337,2477291486,1057790531,818459436.6,899651920.1,725069868.3,405678385,532201939.9
